name,total+AF8-citation,gen+AF8-citation,com+AF8-citation,copious+AF8-citation,self+AF8-citation,NGC,NCC,OC,institute,domain,hindex,i10,hindex validation,Check if hindex lesser than total citations,,,,
A1013,24,7,15,0,0,1,0.375,0.9167,The George Washington University,Systems and Networking,2,1,4,TRUE,,,,
A1014,142,31,1,88,20,1,1,1,Tel Aviv University,Machine Learning,7,1,49,TRUE,,,,
A1015,830,753,15,51,5,0.0928,1,1,Washington University in St. Louis  ,Data Science,26,27,676,TRUE,,,,
A1016,622,77,86,447,6,1,1,1,Washington University in St. Louis  ,Molecular Information Systems,14,19,196,TRUE,,,,
A1017,141,86,41,8,5,0.3901,0.7092,1,The George Washington University,Data Management and Visualization,6,0,36,TRUE,,,,
A1018,235,151,18,13,24,0.3574,1,0.8766,University of Auckland,Machine Learning,12,14,144,TRUE,,,,
A1019,243,159,31,48,0,0.3457,1,1,Cornell University,Computing for Development,9,5,81,TRUE,,,,
A102,35,15,12,1,5,1,0.6571,1,Stanford University,Human Computer Interaction,2,0,4,TRUE,,,,
A1020,867,587,112,72,61,0.323,1,1, Berkeley+ACI-,Data Management and Visualization,27,28,729,TRUE,,,,
A1021,347,79,218,39,10,1,0.3718,1,University of Toronto,Security and Privacy,11,12,121,TRUE,,,,
A1022,630,27,20,106,212,1,1,0.5794,Indiana University,Theory of Computation,13,21,169,TRUE,,,,
A1023,622,273,89,198,44,1,1,1,University of Oxford,Human Computer Interaction,18,22,324,TRUE,,,,
A1024,288,27,48,54,8,1,1,0.4757,Cornell University,Data Management and Visualization,13,14,169,TRUE,,,,
A1025,303,60,122,77,39,1,0.5974,1,University of Massachusetts Amhers ,Ubiquitous Computing,12,15,144,TRUE,,,,
A1026,919,826,33,34,10,0.1012,1,1,Washington University in St. Louis  ,#NAME?,15,17,225,TRUE,,,,
A1027,293,216,41,0,30,0.2628,1,1,University of Rochester,Computer Architecture,12,15,144,TRUE,,,,
A1028,773,443,294,14,9,0.4269,0.6197,1,The University of Chicago,Wireless and Sensor Systems,22,22,484,TRUE,,,,
A1029,687,251,75,166,161,1,1,1,University of Georgia ,Theory of Computation,13,22,169,TRUE,,,,
A103,265,85,95,22,16,1,0.6415,0.8226,Stanford University,Systems and Networking,12,14,144,TRUE,,,,
A1030,493,111,187,88,10,1,0.6207,0.8032,University of Toronto,Human Computer Interaction,20,20,400,TRUE,,,,
A1031,410,355,10,13,30,0.1341,1,1,Pontificia Universidad Catlica de Chile,Computing for Development,13,15,169,TRUE,,,,
A1032,341,3,3,225,50,1,1,0.824,Washington University in St. Louis,Wireless and Sensor Systems,9,1,81,TRUE,,,,
A1033,360,200,116,15,9,0.4444,0.6778,1,University of Notre Dame,Natural Language Processing,10,4,100,TRUE,,,,
A1034,246,64,152,9,10,1,0.3821,1,The George Washington University,Theory of Computation,9,5,81,TRUE,,,,
A1035,457,334,0,40,32,0.2691,1,0.8884,Indiana University,Security and Privacy,13,17,169,TRUE,,,,
A1036,160,131,1,25,1,0.1812,1,1,University of Iowa,Data Management and Visualization,9,8,81,TRUE,,,,
A1037,906,849,11,1,13,0.0629,1,1,Cornell University,Data Science,15,26,225,TRUE,,,,
A1038,709,151,205,306,20,1,0.7109,1,Stanford University,Computing for Development,23,25,529,TRUE,,,,
A1039,88,14,16,1,37,1,1,0.7727,Flinders University of South Australia,Ubiquitous Computing,5,3,25,TRUE,,,,
A104,49,14,20,9,3,1,0.5918,1,The University of Chicago,Computational +ACY- Synthetic Biology,5,2,25,TRUE,,,,
A1040,697,271,204,73,129,1,0.7073,1,Aarhus University,Computing for Development,15,19,225,TRUE,,,,
A1041,145,76,15,46,2,0.4759,1,1,University of New Brunswick,Computer Architecture,10,1,100,TRUE,,,,
A1042,873,142,311,267,128,1,0.6438,1,University of Massachusetts Amhers ,Computing for Development,28,28,784,TRUE,,,,
A1043,310,134,100,67,2,1,0.6774,1,University Aix+AC0-Marseille,Human Computer Interaction,14,15,196,TRUE,,,,
A1044,304,201,80,12,9,0.3388,0.7368,1,University of Georgia ,Systems and Networking,14,14,196,TRUE,,,,
A1045,634,48,122,161,52,1,1,0.6041,Pontificia Universidad Catlica de Chile,Machine Learning,20,23,400,TRUE,,,,
A1046,928,682,150,60,10,0.2651,1,1,University of Oxford,Human Computer Interaction,16,23,256,TRUE,,,,
A1047,940,11,129,425,86,1,1,0.6926,University of Oxford,Theory of Computation,16,23,256,TRUE,,,,
A1048,937,498,101,63,39,0.4685,1,0.7481,Boston University Graduate School,Data Science,21,21,441,TRUE,,,,
A1049,17,9,7,0,0,0.4706,0.5882,1,Vrije Universiteit Amsterdam ,Security and Privacy,3,0,9,TRUE,,,,
A105,768,688,40,30,7,0.1042,1,1,#NAME?, Berkeley-Artificial Intelligence,16,19,256,TRUE,,,,
A1050,296,119,68,81,16,1,1,1,University of New Brunswick,Ubiquitous Computing,8,4,64,TRUE,,,,
A1051,10,8,1,0,0,0.2,1,0.9,Boston University Graduate School,Human Computer Interaction,2,0,4,TRUE,,,,
A1052,955,775,63,70,40,0.1885,1,1,Washington University in St. Louis  ,Molecular Information Systems,25,27,625,TRUE,,,,
A1053,737,554,29,117,18,0.2483,1,1,Pontificia Universidad Catlica de Chile,Data Management and Visualization,22,24,484,TRUE,,,,
A1054,360,185,153,17,4,0.4861,0.575,1,University Aix+AC0-Marseille,Wireless and Sensor Systems,11,11,121,TRUE,,,,
A1055,761,253,33,258,52,1,1,0.7832, San Diego+ACI-,Computer Architecture,26,26,676,TRUE,,,,
A1056,824,21,651,43,25,1,0.21,0.8981,University of Washington,Artificial Intelligence,25,25,625,TRUE,,,,
A1057,251,121,43,58,1,1,1,0.8884,Pontificia Universidad Catlica de Chile,Systems and Networking,10,1,100,TRUE,,,,
A1058,115,108,3,1,2,0.0609,1,1,Vrije Universiteit Amsterdam ,Systems and Networking,7,2,49,TRUE,,,,
A1059,48,27,19,0,0,0.4375,0.6042,1,Pontificia Universidad Catlica de Chile,Computational +ACY- Synthetic Biology,3,2,9,TRUE,,,,
A106,464,112,270,6,23,1,0.4181,0.8858,University of Notre Dame,Ubiquitous Computing,12,16,144,TRUE,,,,
A1060,62,13,25,12,1,1,0.5968,0.8226,University of Iowa,Human Computer Interaction,5,4,25,TRUE,,,,
A1061,41,24,1,3,8,0.4146,1,0.878,Stanford University,Molecular Information Systems,3,0,9,TRUE,,,,
A1062,805,681,26,71,0,0.154,1,1,Stanford University,Security and Privacy,14,15,196,TRUE,,,,
A1063,709,84,605,1,1,1,0.1467,1,Boston University Graduate School,Artificial Intelligence,18,25,324,TRUE,,,,
A1064,118,99,7,10,1,0.161,1,1, The University of Chicago,Molecular Information Systems,5,0,25,TRUE,,,,
A1065,131,22,19,54,14,1,1,0.8321,Boston University Graduate School,Computing for Development,8,3,64,TRUE,,,,
A1066,965,383,526,41,8,1,0.4549,1,Washington University in St. Louis  ,Wireless and Sensor Systems,19,20,361,TRUE,,,,
A1067,828,160,603,9,31,1,0.2717,1,Indiana University,Machine Learning,14,27,196,TRUE,,,,
A1068,670,237,97,35,210,1,1,0.8642,Wesleyan University,Theory of Computation,16,18,256,TRUE,,,,
A1069,189,45,116,24,3,1,0.3862,1, Riverside+ACI-,Human Computer Interaction,12,12,144,TRUE,,,,
A107,727,187,241,20,160,1,0.6685,0.8363, Berkeley+ACI-,Data Science,23,23,529,TRUE,,,,
A1070,675,438,96,13,125,0.3511,1,1,Indiana University,Systems and Networking,20,22,400,TRUE,,,,
A1071,350,25,99,193,3,1,0.7171,0.9143,University of New Brunswick,Wireless and Sensor Systems,12,15,144,TRUE,,,,
A1072,799,405,17,175,47,0.4931,1,0.806,University of Iowa,Molecular Information Systems,26,26,676,TRUE,,,,
A1073,957,492,275,156,23,0.4859,0.7126,1,The University of Chicago,Human Computer Interaction,22,23,484,TRUE,,,,
A1074,237,53,132,8,20,1,0.443,0.8987,Wesleyan University,Wireless and Sensor Systems,7,6,49,TRUE,,,,
A1075,669,264,276,112,10,1,0.5874,1,Massachusetts Institute of Technology ,Security and Privacy,21,22,441,TRUE,,,,
A1076,875,149,655,2,28,1,0.2514,1,University of Washington,Machine Learning,16,22,256,TRUE,,,,
A1077,610,546,27,28,2,0.1049,1,1,Flinders University of South Australia,Systems and Networking,18,18,324,TRUE,,,,
A1078,24,18,4,0,0,0.25,1,0.9167,Washington University in St. Louis,Computer Architecture,3,2,9,TRUE,,,,
A1079,997,241,382,53,274,1,0.6169,1, Los Angeles+ACI-,Computing for Development,24,29,576,TRUE,,,,
A108,705,313,75,244,42,1,1,1,The University of Chicago,Molecular Information Systems,23,23,529,TRUE,,,,
A1080,842,562,268,3,4,0.3325,0.6817,1,Massachusetts Institute of Technology ,Computer Architecture,18,22,324,TRUE,,,,
A1081,804,102,141,422,90,1,1,1,Tel Aviv University,Data Science,21,23,441,TRUE,,,,
A1082,837,345,299,118,38,1,0.6428,1,Pontificia Universidad Catlica de Chile,Computer Architecture,18,24,324,TRUE,,,,
A1083,887,63,290,196,230,1,0.6731,0.8782,Massachusetts Institute of Technology,Computing for Development,23,28,529,TRUE,,,,
A1084,734,216,241,88,95,1,0.6717,0.8719,Stanford University,Computer Architecture,18,23,324,TRUE,,,,
A1085,617,68,239,215,21,1,0.6126,0.8801,University of Rochester,#NAME?,19,21,361,TRUE,,,,
A1086,410,193,55,24,29,1,1,0.7341,#NAME?, Berkeley+ACI-,18,19,324,TRUE,,,,
A1087,791,575,157,1,33,0.2731,1,1,The University of Chicago,Security and Privacy,25,25,625,TRUE,,,,
A1088,970,609,160,174,18,0.3722,1,1,The University of Chicago,Human Computer Interaction,26,30,676,TRUE,,,,
A1089,804,533,178,55,29,0.3371,1,1,#NAME?, Berkeley  +ACI-,26,27,676,TRUE,,,,
A109,873,89,181,301,260,1,1,1,Rijksuniversiteit Groningen,Systems and Networking,26,28,676,TRUE,,,,
A1090,711,506,136,31,33,0.2883,1,1,University Aix+AC0-Marseille,Computer Architecture,20,22,400,TRUE,,,,
A1091,754,588,46,119,0,0.2202,1,1,#NAME?, Riverside+ACI-,22,24,484,TRUE,,,,
A1092,825,381,254,89,77,1,0.6921,1,Tel Aviv University,Molecular Information Systems,14,14,196,TRUE,,,,
A1093,910,730,110,46,4,0.1978,1,1,University of Washington,Machine Learning,27,28,729,TRUE,,,,
A1094,360,322,18,2,6,0.1056,1,1,Washington University in St. Louis,Human Computer Interaction,11,13,121,TRUE,,,,
A1095,360,287,67,4,1,0.2028,1,1,University of Toronto,Systems and Networking,10,9,100,TRUE,,,,
A1096,987,528,103,74,222,0.465,1,1,Flinders University of South Australia,Molecular Information Systems,27,30,729,TRUE,,,,
A1097,393,267,0,113,6,0.3206,1,1,University of Notre Dame,Computer Architecture,16,18,256,TRUE,,,,
A1098,164,65,13,3,55,1,1,0.8293,University of Arizona,Data Management and Visualization,9,4,81,TRUE,,,,
A1099,580,185,72,129,29,1,1,0.7155,Vrije Universiteit Amsterdam ,Programming Languages and Software Engineering,15,17,225,TRUE,,,,
A11,412,279,25,23,59,0.3228,1,1, The University of Chicago,Natural Language Processing,11,19,121,TRUE,,,,
A110,572,307,34,196,8,0.4633,1,1,University of Toronto,Computational +ACY- Synthetic Biology,14,18,196,TRUE,,,,
A1100,555,160,27,282,26,1,1,0.8919,#NAME?, Berkeley  +ACI-,17,18,289,TRUE,,,,
A1101,580,382,46,88,23,0.3414,1,1,#NAME?, Riverside+ACI-,16,22,256,TRUE,,,,
A1102,66,25,35,3,0,1,0.4697,1,University of Oxford,Machine Learning,6,2,36,TRUE,,,,
A1103,361,135,94,84,29,1,0.7396,1,#NAME?, Berkeley+ACI-,12,13,144,TRUE,,,,
A1104,421,309,82,22,3,0.266,1,1,University of Pittsburgh  ,Wireless and Sensor Systems,15,16,225,TRUE,,,,
A1105,505,353,119,22,1,0.301,1,1,Wesleyan University,Ubiquitous Computing,14,15,196,TRUE,,,,
A1106,631,186,253,109,43,1,0.599,1,Washington University in St. Louis,#NAME?,20,24,400,TRUE,,,,
A1107,867,87,49,293,374,1,1,0.9262,University of Notre Dame,Data Management and Visualization,14,27,196,TRUE,,,,
A1108,798,303,62,370,59,1,1,1,The George Washington University,Systems and Networking,27,27,729,TRUE,,,,
A1109,339,230,2,32,6,0.3215,1,0.7965,Boston University Graduate School,Wireless and Sensor Systems,17,17,289,TRUE,,,,
A111,591,503,45,14,19,0.1489,1,1,#NAME?, Berkeley+ACI-,21,21,441,TRUE,,,,
A1110,881,138,448,176,47,1,0.4915,0.9183,Aarhus University,Natural Language Processing,15,16,225,TRUE,,,,
A1111,161,84,15,37,9,0.4783,1,0.9006,University of Auckland,Wireless and Sensor Systems,7,0,49,TRUE,,,,
A1112,235,202,25,5,1,0.1404,1,1,University of Notre Dame,Wireless and Sensor Systems,9,8,81,TRUE,,,,
A1113,930,77,157,567,80,1,1,1,University of Rochester,Ubiquitous Computing,18,25,324,TRUE,,,,
A1114,307,95,142,1,65,1,0.5375,1,University of Toronto,Molecular Information Systems,8,4,64,TRUE,,,,
A1115,370,68,194,16,9,1,0.4757,0.7757,Oregon State University,Systems and Networking,9,1,81,TRUE,,,,
A1116,475,62,67,170,92,1,1,0.8232,Flinders University of South Australia,Theory of Computation,13,14,169,TRUE,,,,
A1117,114,85,22,3,2,0.2544,1,1,Washington University in St. Louis,Natural Language Processing,5,1,25,TRUE,,,,
A1118,474,73,78,111,67,1,1,0.6941,University of Toronto,Wireless and Sensor Systems,17,17,289,TRUE,,,,
A1119,695,240,410,24,1,1,0.4101,1,Washington University in St. Louis,Ubiquitous Computing,16,24,256,TRUE,,,,
A112,989,191,284,199,82,1,0.7128,0.7644,University of Oxford,Data Management and Visualization,23,24,529,TRUE,,,,
A1120,693,554,26,49,1,0.2006,1,0.9091,Aarhus University,Computing for Development,24,25,576,TRUE,,,,
A1121,97,18,76,2,0,1,0.2165,1,University of Auckland,Human Computer Interaction,6,3,36,TRUE,,,,
A1122,574,172,174,27,130,1,0.6969,0.8763,University of Oxford,Human Computer Interaction,22,22,484,TRUE,,,,
A1123,580,166,178,140,63,1,0.6931,1,Washington University in St. Louis,Ubiquitous Computing,23,23,529,TRUE,,,,
A1124,813,255,300,2,102,1,0.631,0.8106,The University of Chicago,Computing for Development,25,26,625,TRUE,,,,
A1125,327,192,78,12,3,0.4128,1,0.8716,Pontificia Universidad Catlica de Chile,Wireless and Sensor Systems,16,17,256,TRUE,,,,
A1126,617,153,365,86,12,1,0.4084,1, The University of Chicago,Computational +ACY- Synthetic Biology,17,20,289,TRUE,,,,
A1127,181,173,6,0,1,0.0442,1,1,University of Massachusetts Amhers ,Machine Learning,8,0,64,TRUE,,,,
A1128,70,60,2,6,1,0.1429,1,1,University of Rochester,Data Science,4,2,16,TRUE,,,,
A1129,182,20,89,39,25,1,0.511,1,University of Notre Dame,#NAME?,12,12,144,TRUE,,,,
A113,702,356,221,32,76,0.4929,0.6852,1,The George Washington University,Theory of Computation,17,21,289,TRUE,,,,
A1130,148,49,15,0,23,1,1,0.5878,Massachusetts Institute of Technology,#NAME?,11,11,121,TRUE,,,,
A1131,339,202,127,0,5,0.4041,0.6254,1,University of Georgia ,Human Computer Interaction,15,15,225,TRUE,,,,
A1132,109,101,3,4,0,0.0734,1,1,University of Georgia ,Natural Language Processing,9,5,81,TRUE,,,,
A1133,595,414,43,125,12,0.3042,1,1,Oregon State University,Security and Privacy,15,16,225,TRUE,,,,
A1134,783,644,122,2,13,0.1775,1,1,University of Toronto,Human Computer Interaction,20,25,400,TRUE,,,,
A1135,280,199,58,19,1,0.2893,1,1,University Aix+AC0-Marseille,Molecular Information Systems,15,15,225,TRUE,,,,
A1136,538,429,0,103,5,0.2026,1,1,University of Rochester,Programming Languages and Software Engineering,19,19,361,TRUE,,,,
A1137,686,311,29,251,92,1,1,1,Flinders University of South Australia,Molecular Information Systems,22,22,484,TRUE,,,,
A1138,248,244,1,2,0,0.0161,1,1,Northwestern University,Artificial Intelligence,7,6,49,TRUE,,,,
A1139,606,230,311,51,7,1,0.4868,1,The George Washington University,Ubiquitous Computing,17,19,289,TRUE,,,,
A114,924,548,248,11,2,0.4069,0.7316,0.8755,#NAME?, Berkeley+ACI-,27,29,729,TRUE,,,,
A1140,865,347,422,30,5,1,0.5121,0.9295,Boston University Graduate School,Machine Learning,18,19,324,TRUE,,,,
A1141,622,594,16,0,5,0.045,1,1,Stanford University,Machine Learning,19,22,361,TRUE,,,,
A1142,333,129,100,30,23,1,0.6997,0.8468,Aarhus University,Machine Learning,9,2,81,TRUE,,,,
A1143,422,196,65,103,35,1,1,1,University of Pittsburgh  ,Machine Learning,12,14,144,TRUE,,,,
A1144,321,228,72,15,3,0.2897,1,1,Oregon State University,#NAME?,11,12,121,TRUE,,,,
A1145,271,135,93,42,0,1,0.6568,1,Tel Aviv University,Wireless and Sensor Systems,9,6,81,TRUE,,,,
A1146,471,282,4,141,26,0.4013,1,1,Boston University Graduate School,Theory of Computation,18,20,324,TRUE,,,,
A1147,951,810,50,13,2,0.1483,1,0.9201,The George Washington University,Machine Learning,23,27,529,TRUE,,,,
A1148,17,12,2,1,0,0.2941,1,0.8824,University of Auckland,Theory of Computation,3,1,9,TRUE,,,,
A1149,861,107,399,181,88,1,0.5366,0.9001,University Aix+AC0-Marseille,Wireless and Sensor Systems,19,21,361,TRUE,,,,
A115,215,184,20,4,6,0.1442,1,1,Massachusetts Institute of Technology,Computational +ACY- Synthetic Biology,7,3,49,TRUE,,,,
A1150,727,693,29,3,0,0.0468,1,1,#NAME?, Irvine +ACI-,22,25,484,TRUE,,,,
A1151,985,710,185,20,13,0.2792,1,1,Massachusetts Institute of Technology ,Machine Learning,19,30,361,TRUE,,,,
A1152,439,249,41,46,13,0.4328,1,0.795,University of Notre Dame,Data Management and Visualization,11,13,121,TRUE,,,,
A1153,700,61,99,84,377,1,1,0.8871,Oregon State University,Computer Architecture,23,24,529,TRUE,,,,
A1154,792,6,255,317,201,1,0.678,1,#NAME?, Berkeley  +ACI-,19,22,361,TRUE,,,,
A1155,476,16,317,60,32,1,0.334,0.8929,University of Notre Dame,Programming Languages and Software Engineering,11,20,121,TRUE,,,,
A1156,224,17,161,14,2,1,0.2812,0.8661,University Aix+AC0-Marseille,Molecular Information Systems,12,12,144,TRUE,,,,
A1157,54,3,9,17,10,1,1,0.7222,Tel Aviv University,Wireless and Sensor Systems,5,2,25,TRUE,,,,
A1158,636,514,70,48,3,0.1918,1,1,University of Auckland,Data Management and Visualization,23,23,529,TRUE,,,,
A1159,21,7,6,7,0,1,0.7143,1,#NAME?, Berkeley  +ACI-,2,0,4,TRUE,,,,
A116,912,467,275,119,48,0.4879,0.6985,1,#NAME?, Berkeley+ACI-,18,27,324,TRUE,,,,
A1160,875,468,246,56,4,0.4651,0.7189,0.8846,University of Washington,Data Management and Visualization,17,18,289,TRUE,,,,
A1161,870,355,331,62,11,1,0.6195,0.8724,Washington University in St. Louis,Molecular Information Systems,17,20,289,TRUE,,,,
A1162,222,114,50,29,0,0.4865,1,0.8694, The University of Chicago,Data Management and Visualization,9,8,81,TRUE,,,,
A1163,720,12,661,34,12,1,0.0819,1,University of Oxford,Data Science,25,25,625,TRUE,,,,
A1164,996,391,134,317,24,1,1,0.8695,#NAME?, Irvine +ACI-,24,25,576,TRUE,,,,
A1165,35,9,17,8,0,1,0.5143,1,University of Georgia ,Ubiquitous Computing,3,2,9,TRUE,,,,
A1166,223,158,16,46,0,0.2915,1,1,University of Massachusetts Amhers ,Theory of Computation,7,2,49,TRUE,,,,
A1167,492,152,230,26,42,1,0.5325,0.9146,University of Pittsburgh  ,#NAME?,16,18,256,TRUE,,,,
A1168,654,236,413,0,0,1,0.3685,1,University of Arizona,Computing for Development,14,23,196,TRUE,,,,
A1169,818,675,0,56,42,0.1748,1,1,Wesleyan University,Theory of Computation,20,23,400,TRUE,,,,
A117,497,254,77,66,26,0.4889,1,0.8511,Washington University in St. Louis  ,Natural Language Processing,13,21,169,TRUE,,,,
A1170,785,324,20,110,250,1,1,0.8968,Washington University in St. Louis,Ubiquitous Computing,26,26,676,TRUE,,,,
A1171,810,751,14,1,25,0.0728,1,1, The University of Chicago,Machine Learning,25,26,625,TRUE,,,,
A1172,70,45,24,0,0,0.3571,0.6571,1,The George Washington University,Computational +ACY- Synthetic Biology,7,6,49,TRUE,,,,
A1173,882,799,49,18,9,0.0941,1,1,University of Massachusetts Amhers ,Molecular Information Systems,27,27,729,TRUE,,,,
A1174,698,538,13,6,61,0.2292,1,0.8854,The University of Chicago,Ubiquitous Computing,14,16,196,TRUE,,,,
A1175,475,13,50,272,110,1,1,1,Northwestern University,Machine Learning,15,17,225,TRUE,,,,
A1176,810,476,197,135,0,0.4123,0.7568,1,University of Arizona,Computational +ACY- Synthetic Biology,21,24,441,TRUE,,,,
A1177,504,37,99,109,161,1,1,0.8056,Cornell University,Natural Language Processing,15,21,225,TRUE,,,,
A1178,10,4,3,1,1,1,0.7,0.9,#NAME?, Riverside+ACI-,1,0,1,TRUE,,,,
A1179,44,7,36,0,0,1,0.1818,1,University of New Brunswick,Wireless and Sensor Systems,4,2,16,TRUE,,,,
A118,782,706,67,3,2,0.0972,1,1,Aarhus University,Artificial Intelligence,18,20,324,TRUE,,,,
A1180,64,63,0,0,0,0.0156,1,1,Northwestern University,Data Management and Visualization,6,3,36,TRUE,,,,
A1181,615,204,123,71,40,1,1,0.7122,#NAME?, Irvine +ACI-,18,23,324,TRUE,,,,
A1182,140,22,67,49,0,1,0.5214,1,The University of Chicago,Programming Languages and Software Engineering,7,6,49,TRUE,,,,
A1183,730,116,574,35,3,1,0.2137,1,Wesleyan University,Artificial Intelligence,23,23,529,TRUE,,,,
A1184,402,269,107,21,0,0.3308,0.7338,1,Boston University Graduate School,Computing for Development,16,17,256,TRUE,,,,
A1185,869,820,11,10,15,0.0564,1,1,Massachusetts Institute of Technology ,Wireless and Sensor Systems,15,27,225,TRUE,,,,
A1186,550,319,55,64,63,0.42,1,0.9109,University of Notre Dame,Molecular Information Systems,17,21,289,TRUE,,,,
A1187,718,70,594,21,13,1,0.1727,1,Aarhus University,Ubiquitous Computing,15,16,225,TRUE,,,,
A1188,579,395,181,1,0,0.3178,0.6874,1,Aarhus University,Molecular Information Systems,14,14,196,TRUE,,,,
A1189,828,637,145,24,16,0.2307,1,1,University Aix+AC0-Marseille,Molecular Information Systems,14,16,196,TRUE,,,,
A119,407,42,142,22,85,1,0.6511,0.715,Stanford University,Computational +ACY- Synthetic Biology,16,17,256,TRUE,,,,
A1190,642,538,76,15,6,0.162,1,1,Washington University in St. Louis,Natural Language Processing,14,24,196,TRUE,,,,
A1191,732,293,15,113,228,1,1,0.8866,Aarhus University,Systems and Networking,23,24,529,TRUE,,,,
A1192,738,688,21,23,4,0.0678,1,1,#NAME?, Irvine +ACI-,17,19,289,TRUE,,,,
A1193,54,6,41,4,0,1,0.2407,1,The George Washington University,Programming Languages and Software Engineering,4,2,16,TRUE,,,,
A1194,665,386,249,22,7,0.4195,0.6256,1,University of Rochester,Theory of Computation,22,22,484,TRUE,,,,
A1195,654,194,151,263,42,1,1,1,Washington University in St. Louis,Programming Languages and Software Engineering,15,18,225,TRUE,,,,
A1196,523,332,74,59,26,0.3652,1,1,Massachusetts Institute of Technology ,Security and Privacy,18,21,324,TRUE,,,,
A1197,290,227,20,18,22,0.2172,1,1,Vrije Universiteit Amsterdam ,Ubiquitous Computing,10,3,100,TRUE,,,,
A1198,895,350,180,148,153,1,1,0.9285,#NAME?, Riverside+ACI-,18,21,324,TRUE,,,,
A1199,134,12,68,21,9,1,0.4925,0.8209,University Aix+AC0-Marseille,Computational +ACY- Synthetic Biology,8,4,64,TRUE,,,,
A12,597,52,114,429,1,1,1,1,#NAME?, Berkeley+ACI-,Computational +ACY- Synthetic Biology,15,16,225,TRUE,,,
A120,743,168,385,183,5,1,0.4818,1,Massachusetts Institute of Technology ,Computing for Development,23,25,529,TRUE,,,,
A1200,222,1,97,10,7,1,0.5631,0.518,University of Auckland,Molecular Information Systems,11,12,121,TRUE,,,,
A1201,133,88,12,12,16,0.3383,1,1,Washington University in St. Louis,#NAME?,7,3,49,TRUE,,,,
A1202,142,141,0,0,0,0.007,1,1,University of Iowa,Computational +ACY- Synthetic Biology,5,0,25,TRUE,,,,
A1203,330,130,31,93,5,1,1,0.7848,University of Notre Dame,Data Science,11,15,121,TRUE,,,,
A1204,944,17,138,150,200,1,1,0.535,Massachusetts Institute of Technology,Computer Architecture,19,21,361,TRUE,,,,
A1205,134,61,52,10,8,1,0.6119,1,University of Notre Dame,Theory of Computation,9,1,81,TRUE,,,,
A1206,468,196,97,112,12,1,1,0.891,Cornell University,Data Science,18,19,324,TRUE,,,,
A1207,148,43,73,7,0,1,0.5068,0.8311,#NAME?, Riverside+ACI-,7,3,49,TRUE,,,,
A1208,999,490,480,26,0,1,0.5195,1,Washington University in St. Louis,Human Computer Interaction,21,29,441,TRUE,,,,
A1209,621,362,200,47,1,0.4171,0.6779,1,The University of Chicago,Systems and Networking,17,22,289,TRUE,,,,
A121,253,149,15,52,29,0.4111,1,1,#NAME?, Berkeley+ACI-,9,7,81,TRUE,,,,
A1210,442,99,128,10,59,1,0.7104,0.6697,The University of Chicago,Computing for Development,11,14,121,TRUE,,,,
A1211,131,120,7,2,1,0.084,1,1,#NAME?, San Diego+ACI-,5,3,25,TRUE,,,,
A1212,583,446,8,0,38,0.235,1,0.8439,Washington University in St. Louis,Computer Architecture,18,20,324,TRUE,,,,
A1213,584,150,404,20,6,1,0.3082,1,#NAME?, Riverside+ACI-,19,20,361,TRUE,,,,
